iter	Passed	Remaining
745	2481	844
746	2484	841
747	2486	837
748	2489	834
749	2492	830
750	2494	827
751	2497	823
752	2499	819
753	2505	817
754	2511	815
755	2520	813
756	2525	810
757	2531	808
758	2536	805
759	2543	803
760	2551	801
761	2558	799
762	2569	798
763	2574	795
764	2584	793
765	2591	791
766	2603	790
767	2611	789
768	2617	786
769	2622	783
770	2632	782
771	2643	780
772	2645	776
773	2649	773
774	2653	770
775	2658	767
776	2664	764
777	2675	763
778	2679	760
779	2682	756
780	2684	752
781	2689	749
782	2701	748
783	2711	747
784	2723	746
785	2738	745
786	2744	742
787	2754	741
788	2761	738
789	2767	735
790	2773	732
791	2781	730
792	2787	727
793	2797	725
794	2809	724
795	2821	723
796	2827	720
797	2839	718
798	2849	716
799	2854	713
800	2859	710
801	2862	706
802	2867	703
803	2873	700
804	2878	697
805	2890	695
806	2892	691
807	2899	689
808	2906	686
809	2912	683
810	2916	679
811	2919	675
812	2921	671
813	2923	667
814	2925	664
815	2927	660
816	2929	656
817	2933	652
818	2935	648
819	2938	644
820	2940	641
821	2942	637
822	2944	633
823	2947	629
824	2950	625
825	2952	621
826	2954	618
827	2956	614
828	2958	610
829	2963	606
830	2965	603
831	2967	599
832	2969	595
833	2972	591
834	2974	587
835	2976	583
836	2980	580
837	2982	576
838	2984	572
839	2986	568
840	2988	565
841	2990	561
842	2995	557
843	2997	554
844	2999	550
845	3001	546
846	3003	542
847	3007	539
848	3009	535
849	3011	531
850	3013	527
851	3016	523
852	3018	520
853	3020	516
854	3024	512
855	3026	509
856	3028	505
857	3030	501
858	3033	497
859	3037	494
860	3039	490
861	3041	486
862	3043	483
863	3045	479
864	3047	475
865	3050	471
866	3053	468
867	3055	464
868	3057	460
869	3060	457
870	3062	453
871	3064	449
872	3067	446
873	3070	442
874	3072	438
875	3074	435
876	3076	431
877	3078	427
878	3080	424
879	3083	420
880	3085	416
881	3088	413
882	3091	409
883	3093	405
884	3095	402
885	3101	399
886	3114	396
887	3117	393
888	3119	389
889	3122	385
890	3124	382
891	3126	378
892	3129	374
893	3131	371
894	3133	367
895	3135	363
896	3138	360
897	3140	356
898	3143	353
899	3146	349
900	3148	345
901	3149	342
902	3151	338
903	3153	334
904	3155	331
905	3159	327
906	3161	324
907	3163	320
908	3165	316
909	3167	313
910	3170	309
911	3172	306
912	3175	302
913	3177	299
914	3179	295
915	3182	291
916	3184	288
917	3186	284
918	3188	281
919	3190	277
920	3192	273
921	3194	270
922	3197	266
923	3199	263
924	3203	259
925	3205	256
926	3208	252
927	3211	249
928	3217	245
929	3219	242
930	3221	238
931	3223	235
932	3225	231
933	3227	228
934	3229	224
935	3233	221
936	3235	217
937	3237	214
938	3239	210
939	3241	206
940	3245	203
941	3248	200
942	3251	196
943	3254	193
944	3265	190
945	3267	186
946	3269	182
947	3272	179
948	3274	175
949	3279	172
950	3281	169
951	3284	165
952	3286	162
953	3288	158
954	3296	155
955	3300	151
956	3302	148
957	3305	144
958	3307	141
959	3311	137
960	3313	134
961	3317	131
962	3319	127
963	3324	124
964	3327	120
965	3332	117
966	3335	113
967	3341	110
968	3343	106
969	3345	103
970	3349	100
971	3351	96
972	3358	93
973	3361	89
974	3363	86
975	3365	82
976	3370	79
977	3374	75
978	3376	72
979	3379	68
980	3382	65
981	3387	62
982	3389	58
983	3392	55
984	3394	51
985	3399	48
986	3401	44
987	3404	41
988	3407	37
989	3410	34
990	3416	31
991	3419	27
992	3421	24
993	3425	20
994	3431	17
995	3433	13
996	3437	10
997	3439	6
998	3443	3
999	3447	0
